name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
Senior/Teamlead android developer,,150000.0,,RUR,Москва,2017-03-15T06:27:27+0300
Senior/Teamlead android developer,,,,,Тверь,2017-03-15T06:29:28+0300
Программист ios + android,"iOS
Android",,,,Хабаровск,2017-08-01T08:53:51+0300
Программист (android- разработчик),,40000.0,,RUR,Барнаул,2017-11-07T09:59:44+0300
Senior android-разработчик,"Android SDK
Android
Git
Java
RxJava
RxAndroid",200000.0,250000.0,RUR,Нижний Новгород,2017-11-10T11:48:45+0300
Разработчик мобильных приложений (android),,,,,Пермь,2017-04-17T07:28:51+0300
Senior android developer,,3000.0,4000.0,USD,Москва,2017-07-18T14:07:24+0300
"Программист android, php",,30000.0,30000.0,RUR,Новая Усмань,2017-05-22T09:44:30+0300
Тестировщик / QA инженер (android team),"QA
Тестирование
Тестирование пользовательского интерфейса
Функциональное тестирование
Регресcионное тестирование
Test case",,,,Санкт-Петербург,2017-04-21T14:20:39+0300
Андроид разработчик/ android,,,,,Москва,2017-09-29T10:23:07+0300
Дизайнер UI/UX (IOS/android),,90000.0,120000.0,RUR,Москва,2017-07-04T14:44:27+0300
Senior android-разработчик,"Android SDK
Android
Git
Java
RxJava
RxAndroid",200000.0,250000.0,RUR,Москва,2018-07-13T19:41:46+0300
"React Native Developer (iOS, android)","iOS
Android
React Native
JavaScript
CSS
HTML
HTML5
XML
Xsd
Node.js
Redux",,,,Самара,2018-08-17T10:56:31+0300
Junior android developer,,,,,Москва,2018-03-12T12:34:47+0300
Junior android разработчик,,35000.0,,RUR,Новосибирск,2018-06-01T13:58:25+0300
Junior android разработчик,"Java
REST API
Kotlin
JSON API
Rx",90000.0,120000.0,RUR,Москва,2018-10-20T10:34:04+0300
Senior android Developer,"Android
Java",,,,Санкт-Петербург,2018-05-29T13:25:42+0300
Senior android developer,,,,,Ташкент,2018-01-21T08:05:57+0300
Junior android-разработчик,"Android
Java",15000.0,25000.0,RUR,Барнаул,2018-08-26T11:10:43+0300
Junior android-разработчик,"Android
Java",15000.0,25000.0,RUR,Бийск,2018-08-26T11:10:43+0300
Junior android-разработчик,"Android
Java",15000.0,25000.0,RUR,Горно-Алтайск,2018-08-26T11:10:43+0300
Разработчик android,,60000.0,,RUR,Тверь,2018-09-25T10:01:01+0300
Senior/Lead android SDK developer,"Android
CI/CD
Gradle
TDD
Cordova",150000.0,,RUR,Санкт-Петербург,2018-10-20T15:46:43+0300
Senior Android developer (со знанием android TV и стриминговых приложений),"Android SDK
Java
Android
leanback library
exoplayer
android TV
cтриминговые приложения",,,,Москва,2018-05-11T18:15:48+0300
Разработчик Middle android developer,"Android
Android SDK",100000.0,,RUR,Краснодар,2018-08-01T19:06:11+0300
Разработчик Senior android developer,"Android
Android SDK",200000.0,,RUR,Краснодар,2018-08-01T19:08:23+0300
Senior android-разработчик,"Android SDK
Android
Git
Java
RxJava
RxAndroid",200000.0,250000.0,RUR,Нижний Новгород,2018-07-13T19:41:17+0300
Senior android-разработчик,"Android SDK
Android
Git
Java
RxJava
RxAndroid",200000.0,250000.0,RUR,Нижний Новгород,2018-04-10T09:15:37+0300
Старший разработчик android приложений,,50000.0,60000.0,RUR,Барнаул,2018-04-13T12:27:59+0300
"Программист-разработчик (ios, android)","Java
MS SQL
JavaScript
PHP
Разработка ПО
SQL",40000.0,,RUR,Красноярск,2018-12-20T08:22:47+0300
Senior/Lead android SDK developer,"Android
CI/CD
Gradle
TDD
Cordova",150000.0,,RUR,Санкт-Петербург,2018-07-25T09:15:36+0300
Senior android-разработчик,"Android SDK
Android
Git
Java
RxJava
RxAndroid",200000.0,250000.0,RUR,Москва,2018-04-15T00:18:47+0300
"QA инженер / специалист по ручному тестированию (iOS, android app)","Функциональное тестирование
Регресcионное тестирование
Тестирование
Java
Python
iOS
Android
API",,,,Москва,2018-09-17T18:57:06+0300
Разработчик Android/android developer/Java программист ( удаленно),,,,,Москва,2018-05-24T18:26:00+0300
Разработчик android,,50000.0,,RUR,Тверь,2018-05-14T12:37:03+0300
Senior android developer,,,,,Самара,2018-04-02T11:43:05+0300
Программист-разработчик (android),,,,,Ростов-на-Дону,2018-08-16T09:43:58+0300
"Java-разработчик, iOS, android, CV (Стажер)",,,,,Нур-Султан,2018-05-16T08:25:48+0300
Junior android developer,,200.0,600.0,BYR,Гомель,2018-07-26T12:34:01+0300
Middle android-developer,,80000.0,140000.0,RUR,Москва,2018-05-03T13:01:03+0300
Senior/Lead android developer,"Android
CI/CD
Gradle
TDD
Cordova",150000.0,,RUR,Санкт-Петербург,2018-06-17T14:27:50+0300
IOS/android разработчик,,450000.0,600000.0,KZT,Алматы,2018-11-10T19:26:54+0300
Junior android developer,,,,,Москва,2018-02-02T11:54:40+0300
